actor,movie_or_TV_name
Nicholas Woodeson,Ripper Street
Nicholas Woodeson,Poirot
Nicholas Woodeson,You Are Me
Nicholas Woodeson,It's Kevin
Nicholas Woodeson,Loving Miss Hatto
Nicholas Woodeson,Secret State
Helen McCrory,Dickens
Helen McCrory,The Jury
Helen McCrory,The Count of Monte Cristo
Helen McCrory,Charlotte Gray
Helen McCrory,In a Land of Plenty
Helen McCrory,North Square
Judi Dench,84 Charing Cross Road
Judi Dench,The Browning Version
Judi Dench,A Room with a View
Judi Dench,Star Quality: Mr. and Mrs. Edgehill
Naomie Harris,Blood and Oil
Naomie Harris,Sex & Drugs & Rock & Roll
Naomie Harris,Small Island
Naomie Harris,Ninja Assassin
Naomie Harris,My Last Five Girlfriends
Naomie Harris,Morris: A Life with Bells On
Javier Bardem,Bride of Frankenstein
Nicholas Woodeson,Skyfall
Nicholas Woodeson,Hannah Arendt
Nicholas Woodeson,Silk
Nicholas Woodeson,John Carter
Nicholas Woodeson,Hysteria
Nicholas Woodeson,Shameless
Nicholas Woodeson,The Hour
Nicholas Woodeson,Borgen
Helen McCrory,Hotel Splendide
Helen McCrory,Anna Karenina
Helen McCrory,Split Second
Helen McCrory,Dad Savage
Helen McCrory,Spoonface Steinberg
Helen McCrory,Trial & Retribution
Helen McCrory,The James Gang
Judi Dench,The Angelic Conversation
Judi Dench,Wetherby
Judi Dench,A Fine Romance
Judi Dench,Saigon: Year of the Cat
Naomie Harris,Street Kings
Naomie Harris,Poppy Shakespeare
Naomie Harris,Explicit Ills
Naomie Harris,August
Naomie Harris,Pirates of the Caribbean: At World's End
Naomie Harris,Miami Vice
Naomie Harris,Pirates of the Caribbean: Dead Man's Chest
Javier Bardem,"Lyle, Lyle, Crocodile"
Javier Bardem,Being the Ricardos
Javier Bardem,The Little Mermaid
Javier Bardem,The Good Boss
Nicholas Woodeson,Pope Joan
Nicholas Woodeson,Red Riding: The Year of Our Lord 1980
Nicholas Woodeson,Filth: The Mary Whitehouse Story
Nicholas Woodeson,Poppy Shakespeare
Nicholas Woodeson,Foyle's War
Nicholas Woodeson,Rough Diamond
Nicholas Woodeson,Rome
Nicholas Woodeson,Amazing Grace
Helen McCrory,The Fragile Heart
Helen McCrory,Scene
Helen McCrory,Forest People
Helen McCrory,Witness Against Hitler
Helen McCrory,Screen Two
Helen McCrory,Dirty Old Town
Helen McCrory,Interview with the Vampire: The Vampire Chronicles
Helen McCrory,Uncovered
Judi Dench,Jackanory
Judi Dench,Spaceship Earth
Judi Dench,The Cherry Orchard
Judi Dench,BBC2 Playhouse
Naomie Harris,Tristram Shandy
Naomie Harris,After the Sunset
Naomie Harris,Trauma
Naomie Harris,Crust
Naomie Harris,Dinotopia
Naomie Harris,The Project
Javier Bardem,Dune
Javier Bardem,Home Movie: The Princess Bride
Javier Bardem,The Roads Not Taken
Javier Bardem,El Hormiguero: Vacaciones en el Titanic
Javier Bardem,Asesinato en el Hormiguero Express
Nicholas Woodeson,Eleventh Hour
Nicholas Woodeson,Doc Martin
Nicholas Woodeson,The Last Detective
Nicholas Woodeson,A Touch of Frost
Nicholas Woodeson,Helen West
Nicholas Woodeson,Waking the Dead
Nicholas Woodeson,Conspiracy
Helen McCrory,Performance
Helen McCrory,Full Stretch
Ian Bonar,Vera
Judi Dench,Love in a Cold Climate
Judi Dench,ITV Playhouse
Judi Dench,BBC2 Play of the Week
Judi Dench,Macbeth
Naomie Harris,28 Days Later...
Naomie Harris,White Teeth
Naomie Harris,Anansi
Naomie Harris,Trial & Retribution
Naomie Harris,Living in Hope
Naomie Harris,If Looks Could Kill: The Power of Behaviour
Javier Bardem,Everybody Knows
Javier Bardem,Thy Kingdom Come
Javier Bardem,Loving Pablo
Javier Bardem,Mother!
Nicholas Woodeson,One of the Hollywood Ten
Nicholas Woodeson,The Mrs Bradley Mysteries
Nicholas Woodeson,Dreaming of Joseph Lees
Nicholas Woodeson,Mad Cows
Nicholas Woodeson,Topsy-Turvy
Nicholas Woodeson,Great Expectations
Nicholas Woodeson,Animated Epics: Beowulf
Nicholas Woodeson,The Avengers
Ian Bonar,I May Destroy You
Ian Bonar,Interlude in Prague
Ian Bonar,"Damilola, Our Loved Boy"
Ian Bonar,New Blood
Ian Bonar,Hands
Ian Bonar,Spectre
Ian Bonar,Jack Ryan: Shadow Recruit
Ian Bonar,Southcliffe
Ian Bonar,Black Mirror
Ian Bonar,Skyfall
Ian Bonar,Kon-Tiki
Judi Dench,The Comedy of Errors
Judi Dench,Star Over Bethlehem
Judi Dench,Arena
Judi Dench,Dead Cert
Naomie Harris,The Tomorrow People
Naomie Harris,Runaway Bay
Naomie Harris,Erasmus Microman
Naomie Harris,Simon and the Witch
Javier Bardem,Pirates of the Caribbean: Dead Men Tell No Tales
Javier Bardem,The Last Face
Javier Bardem,The Gunman
Javier Bardem,Automata
Javier Bardem,The Counselor
Nicholas Woodeson,Titanic Town
Nicholas Woodeson,Midsomer Murders
Nicholas Woodeson,The Lodge
Nicholas Woodeson,The Woman in White
Nicholas Woodeson,The Man Who Knew Too Little
Nicholas Woodeson,Shooting Fish
Nicholas Woodeson,The Last Englishman
Ian Bonar,Scott & Bailey
Ian Bonar,Comedy Lab
Ian Bonar,Holy Flying Circus
Ian Bonar,Secret Diary of a Call Girl
Ian Bonar,Going Postal
Ian Bonar,Holby City
Ian Bonar,1234
Ian Bonar,How to Lose Friends & Alienate People
Ian Bonar,Teenage Kicks
Judi Dench,Luther
Judi Dench,Ooh La La!
Judi Dench,Confession
Judi Dench,A Midsummer Night's Dream
Javier Bardem,L'Agent
Javier Bardem,Scorpion in Love
Javier Bardem,Sherman and Pacifico
Javier Bardem,Skyfall
Nicholas Woodeson,Pie in the Sky
Nicholas Woodeson,Screen Two
Nicholas Woodeson,The Chief
Nicholas Woodeson,The Poetry Hall of Fame
Nicholas Woodeson,Cracker
Nicholas Woodeson,The Pelican Brief
Nicholas Woodeson,Performance
Ian Bonar,Atonement
Ian Bonar,The Green Green Grass
Ian Bonar,Starter for 10
Ian Bonar,Hotel Babylon
Ian Bonar,Totally Frank
Ian Bonar,New Tricks
Judi Dench,BBC Play of the Month
Judi Dench,Theatre 625
Judi Dench,Court Martial
Judi Dench,ITV Play of the Week
Javier Bardem,To the Wonder
Javier Bardem,Eat Pray Love
Javier Bardem,Biutiful
Nicholas Woodeson,Bonjour la Classe
Nicholas Woodeson,Mr. Wroe's Virgins
Nicholas Woodeson,The Blackheath Poisonings
Nicholas Woodeson,The Life and Times of Henry Pratt
Nicholas Woodeson,Screenplay
Nicholas Woodeson,A Fatal Inversion
Nicholas Woodeson,The Wolvis Family
Nicholas Woodeson,For the Greater Good
Judi Dench,A Study in Terror
Judi Dench,He Who Rides a Tiger
Judi Dench,Four in the Morning
Judi Dench,Mogul
Javier Bardem,Vicky Cristina Barcelona
Javier Bardem,Love in the Time of Cholera
Javier Bardem,No Country for Old Men
Javier Bardem,Goya's Ghosts
Nicholas Woodeson,The Russia House
Nicholas Woodeson,Max and Helen
Nicholas Woodeson,Blackeyes
Nicholas Woodeson,Miami Vice
Nicholas Woodeson,The Hound of the Baskervilles
Nicholas Woodeson,Heaven's Gate
Nicholas Woodeson,A Rumor of War
Nicholas Woodeson,Here's Boomer
Judi Dench,Detective
Judi Dench,The Third Secret
Judi Dench,Festival
Judi Dench,Z Cars
Ola Rapace,T-MINUS 75: The Last Story to Be Told
Javier Bardem,The Sea Inside
Javier Bardem,Collateral
Javier Bardem,Mondays in the Sun
Judi Dench,Love Story
Judi Dench,The Cherry Orchard
Judi Dench,The Four Just Men
Judi Dench,An Age of Kings
Ola Rapace,White Trash
Ola Rapace,Divertimento
Ola Rapace,Gidseltagningen
Ola Rapace,The Last Kingdom
Ola Rapace,Hassel
Ola Rapace,Valerian and the City of a Thousand Planets
Ola Rapace,Farang
Ola Rapace,Ares
Ola Rapace,Carole Matthieu
Javier Bardem,The Dancer Upstairs
Javier Bardem,No News from God
Javier Bardem,Before Night Falls
Javier Bardem,Second Skin
Judi Dench,Armchair Theatre
Judi Dench,The Terrible Choice
Judi Dench,Hilda Lessways
Ola Rapace,Section Zéro
Ola Rapace,Greetings from the North
Ola Rapace,Long Story Short
Ola Rapace,Itsi Bitsi
Ola Rapace,Tommy
Ola Rapace,Crimes of Passion: Tragedy in a Country Churchyard
Ola Rapace,Crimes of Passion: Dangerous Dreams
Ola Rapace,"Crimes of Passion: Roses, Kisses and Death"
Javier Bardem,Los lobos de Washington
Javier Bardem,Between Your Legs
Javier Bardem,"Torrente, el brazo tonto de la ley"
Javier Bardem,Live Flesh
Bill Buckhurst,The Foreigner
Ola Rapace,Crimes of Passion: No More Murders
Ola Rapace,I Am Yours
Ola Rapace,Crimes of Passion: King Lily of the Valley
Ola Rapace,Crimes of Passion: Death of a Loved One
Ola Rapace,Odjuret
Ola Rapace,"Geister, die ich rief"
Ola Rapace,Skyfall
Ola Rapace,Anno 1790
Javier Bardem,Dance with the Devil
Javier Bardem,Airbag
Javier Bardem,Nova ficció
Javier Bardem,Love Can Seriously Damage Your Health
Elize du Toit,Skyfall
Bill Buckhurst,The Coroner
Bill Buckhurst,Father Brown
Bill Buckhurst,Skyfall
Bill Buckhurst,New Tricks
Bill Buckhurst,EastEnders
Bill Buckhurst,Collision
Bill Buckhurst,Doctors
Bill Buckhurst,Bad Girls
Bill Buckhurst,Coronation Street
Bill Buckhurst,Goode Fellowes
Ola Rapace,Stockholm to Båstad
Ola Rapace,Jag saknar dig
Ola Rapace,Beyond
Ola Rapace,Solsidan
Ola Rapace,Livet i Fagervik
Ola Rapace,Games
Ola Rapace,Selma
Ola Rapace,The Inspector and the Sea
Javier Bardem,"Not Love, Just Frenzy"
Javier Bardem,Mambrú
Javier Bardem,Éxtasis
Javier Bardem,La madre
Javier Bardem,Mouth to Mouth
Elize du Toit,Coronation Street
Elize du Toit,Inspector Lewis
Elize du Toit,Waking the Dead
Elize du Toit,Smile
Elize du Toit,M.I.High
Elize du Toit,Material Girl
Elize du Toit,Infidel
Elize du Toit,Ghost Town
Elize du Toit,Waterloo Road
Elize du Toit,Homeland
